customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5365,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,3.4291367503513968,3.4291367503513968,0
3953,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,4.059580569785761,7.544596623330987,0
2558,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,4.00460218672124,4.692723082995953,1
5524,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,3.768152635008444,7.518471485562923,0
6500,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,4.272490747605575,5.028147719180887,1
6540,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,4.611649152085801,6.711131937477322,1
1001,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,4.500920164614292,7.575789758727007,0
4760,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,3.4258899942525267,5.713402718033191,0
5593,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,4.661550519424199,8.02192918843427,1
4524,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,4.04567939024082,8.15735611033029,0
6860,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,3.9308447596687337,6.377491961323671,0
5278,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,2.9932291433358724,5.792403666309729,0
5740,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,4.618579872898009,8.645076161696084,0
174,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,4.651099117876491,8.524625503233533,1
3606,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,4.66814498514948,7.8961992165555,0
2550,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,4.738389029774314,8.974130577893364,0
5809,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,3.075005454448499,6.931422976282321,0
7008,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,4.679349584162343,8.906969200059761,0
2930,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,4.028916756899646,6.271649838789389,1
2921,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,4.511408806173617,7.530426345737758,0
6196,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,3.7049988359938197,3.7049988359938197,1
1140,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,3.0349529867072724,5.31443674842792,0
723,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,3.0516399054922867,3.0516399054922867,1
2535,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,4.109233174715851,8.16225958760722,0
4469,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,4.104294893075269,7.996754846467186,0
4863,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,4.030694535145645,7.3340682196031395,0
4574,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,4.608664075242347,8.46593147547745,1
6108,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,3.4404180948154366,3.4404180948154366,1
3724,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,4.513602992462601,8.759425389713137,0
6188,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,4.185098925490565,6.9976873864827445,1
2694,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,4.578312731818208,8.819953513551914,0
3472,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,4.56954300834494,5.207571753241291,0
4834,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,4.206928922969246,7.536603909609118,0
5184,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,3.054001181677967,3.054001181677967,0
2378,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.834061463958434,3.834061463958434,0
4413,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,4.6141299273595635,8.88912909231302,0
4282,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,4.258445572902527,5.761736867916757,1
4646,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,4.328098292648326,8.174505679927726,0
3819,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,4.67609452432479,8.174773302525123,1
5792,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,4.593603549616626,7.008866780350549,1
6252,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,3.9229629454664803,6.16688736221078,0
6660,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,4.251348311031766,8.491536864602452,0
6945,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,3.079613757534693,6.038467400703318,0
3259,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,4.392595586023115,8.489297705097483,0
2855,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,4.3463994570307305,6.890049451863205,0
2593,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,4.448516375942715,8.270704244607035,0
4202,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,3.917010546939185,4.584967478670572,0
5499,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,4.402441819416474,4.977767690470639,1
5417,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,4.391357962102766,8.347306006402459,0
2043,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,4.176692303570854,8.355873542493944,0
5675,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,4.513602992462601,8.253162539295738,0
6619,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,4.6061696863211745,7.263609886536967,1
4648,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,4.255612709818223,7.4694546091209375,0
5295,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,4.402441819416474,6.4525220286398515,1
3256,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,4.328757705794541,8.402309698021336,0
1128,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,4.569024739351738,7.4693975835734765,1
6187,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,4.611649152085801,8.750239547701803,0
3569,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,4.695467823968872,8.864654822837052,0
2777,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,3.2561716096118976,6.7971588576401105,0
4208,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,4.686750172980514,8.968867357726134,0
295,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,4.620058798481842,8.457039708596394,0
832,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,4.509760001183433,8.603682765623805,0
358,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,3.763522997109702,7.993957547573565,0
374,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,4.014579593753238,6.864952156656828,0
4034,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,4.558078578454241,6.754895432337801,1
3600,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,4.334672938290411,5.501666290534067,0
6079,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,4.380775852772229,8.202852241207772,0
2376,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,4.384523514872469,7.823325751531809,0
2210,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,3.0516399054922867,6.83722551279161,0
5252,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,4.392595586023115,6.789365809481915,0
1561,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,3.9130225057612296,3.9130225057612296,0
501,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,3.0633909220278057,6.995445592109125,0
1271,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,4.72384171570559,8.867850063029406,0
5686,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,3.228826155721369,7.262348056716545,0
3985,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,4.182050142641207,5.184028220145909,0
1834,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,4.7140245909001735,8.722661451050438,0
4540,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,4.036891987474015,7.8972407089593375,0
3961,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,4.019082077721554,6.18053411808844,0
108,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,4.327438444389479,7.655532680193197,0
2725,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,3.292126286607793,7.104636987107422,0
4181,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,4.386392092183521,4.386392092183521,1
5755,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,3.942552210462969,6.339212261646723,0
6477,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,4.332705079341171,6.210399253648137,1
6978,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,4.6520537718869415,8.372976340655828,0
202,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,3.0516399054922867,6.881770582010144,0
3092,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,4.60816569496789,6.824101893984884,0
3367,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,4.1455128487965,7.703662095843597,0
1257,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,3.075005454448499,6.964135612418245,0
1917,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,3.0421386463681466,6.833139485601347,0
2099,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,3.548179572010801,6.917953103958583,0
3336,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,4.419442836059304,7.852127994983248,0
1662,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,4.3267781604434035,4.3267781604434035,0
5127,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,4.442651256490317,8.65089331980408,0
4295,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,4.718945200246936,8.868976189274543,0
6934,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,4.623991940228679,8.917317395588213,0
6088,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,4.381401439279963,6.83340881685348,1
6897,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,4.217299386280878,8.465836737139407,0
